Timestamp,Твоя програма,Стать,Курс,Чи проживаєш ти у колегіумі?,"Якби вибори студентського Урядку відбувалися завтра, за кого ти би віддав свій голос?",Поясни свій вибір за бажанням ,Чи ти належиш до СО?,Чи ти куриш?(паріння теж враховується),Чи ти цікавишся студентським політичним житям або політикою у країні?
10/5/2023 14:46:02,Право,Чоловік,3,Ні,Так,,Ні,Інколи,"Так, і тим, і тим"
10/5/2023 14:47:28,Філологія,Жінка,2,Так,Так,,Ні,Так,"Так, і тим, і тим"
10/5/2023 14:47:36,Філологія,Жінка,3,Так,Так,"команда виглядає найбільш відповідальною, підійшла до роботи найсерйозніше",Ні,Так,50 на 50
10/5/2023 14:47:40,Комп’ютерні науки,Чоловік,1,Ні,Так,,Так,Так,"Так, і тим, і тим"
10/5/2023 14:50:03,Історія,Жінка,2,Так,Так,,Так,Інколи,"Так, політикою"
10/5/2023 14:50:06,Комп’ютерні науки,Чоловік,2,Так,Так,,Ні,Так,"Так, і тим, і тим"
10/5/2023 14:52:25,Культурологія,Жінка,2,Так,Так,,Так,Ні,"Так, і тим, і тим"
10/5/2023 14:52:48,Право,Чоловік,3,Так,Не визначився(лась),,Так,Ні,"Так, і тим, і тим"
10/5/2023 14:53:13,ІТ та БА,Жінка,2,Ні,Авжеж,,Ні,Так,50 на 50
10/5/2023 14:53:22,ІТ та БА,Жінка,1,Так,Не визначився(лась),,Ні,Інколи,"Ні, нічим з вище переліченого"
10/5/2023 14:56:49,Комп’ютерні науки,Чоловік,1,Так,Авжеж,кампанія,Ні,Ні,50 на 50
10/5/2023 14:58:43,Культурологія,Жінка,2,Так,Так,,Ні,Так,"Так, і тим, і тим"
10/5/2023 15:00:09,ІТ та БА,Жінка,2,Ні,Не визначився(лась),,Ні,Ні,"Ні, нічим з вище переліченого"
10/5/2023 15:03:45,Комп’ютерні науки,Чоловік,1,Ні,Так,,Так,Інколи,"Так, і тим, і тим"
10/5/2023 15:05:07,Культурологія,Чоловік,2,Ні,Так,Свій до свого по своє ,Ні,Інколи,"Так, і тим, і тим"
10/5/2023 15:06:57,Право,Не відповідатиму,3,Так,Так,Во виглядають найбільш серйозно та адекватно,Ні,Так,"Так, і тим, і тим"
10/5/2023 15:07:57,Право,Чоловік,3,Так,Так,,Так,Так,"Так, і тим, і тим"
10/5/2023 15:09:46,Комп’ютерні науки,Чоловік,2,Так,Так,,Ні,Так,"Так, і тим, і тим"
10/5/2023 15:11:40,ЕПЕ,Жінка,1,Ні,Авжеж,,Ні,Ні,"Так, і тим, і тим"
10/5/2023 15:12:28,Історія,Жінка,1,Ні,Я виступаю проти всіх,,Ні,Так,50 на 50
10/5/2023 15:12:45,Комп’ютерні науки,Жінка,3,Ні,Авжеж,,Ні,Ні,"Так, студ життям"
